	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.12371_t	7	8	10	11	5	5	14	22	14	6	6	2	5	7	5	9	2	1
Pocillopora_acuta_HIv2___RNAseq.1237_t	8	6	4	7	2	6	5	6	11	3	2	3	4	4	6	2	2	0
Pocillopora_acuta_HIv2___RNAseq.123_t	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12432_t	30	18	20	42	35	44	20	19	18	27	22	25	8	12	13	19	26	12
Pocillopora_acuta_HIv2___RNAseq.12434_t	5	2	7	6	9	3	7	7	9	6	3	3	0	4	2	1	1	3
Pocillopora_acuta_HIv2___RNAseq.12516_t	20	21	13	32	12	27	18	24	25	14	20	16	17	18	25	17	32	16
Pocillopora_acuta_HIv2___RNAseq.12574_t	6	1	4	10	4	10	1	5	6	4	1	1	3	6	3	15	7	7
Pocillopora_acuta_HIv2___RNAseq.12608_t	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.12612_t	2	0	0	0	1	2	2	5	13	17	16	10	5	5	4	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1261_t	8	6	3	7	4	9	8	7	7	4	7	6	5	0	7	3	4	2
Pocillopora_acuta_HIv2___RNAseq.12645_ta	5	2	3	3	2	4	3	1	1	3	0	0	4	3	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.12645_tb	4	3	2	1	0	3	0	0	0	0	0	0	1	0	0	0	1	1
Pocillopora_acuta_HIv2___RNAseq.12690_t	13	11	4	17	6	9	13	9	22	3	6	4	9	6	11	9	4	4
Pocillopora_acuta_HIv2___RNAseq.12706_t	1	0	1	1	1	2	1	0	1	0	1	0	0	1	1	0	2	0
Pocillopora_acuta_HIv2___RNAseq.1270_t	1	2	4	3	0	0	1	1	2	2	3	2	4	1	4	1	5	1
Pocillopora_acuta_HIv2___RNAseq.1271_t	29	21	19	43	21	31	28	16	49	23	30	16	24	22	18	31	24	11
Pocillopora_acuta_HIv2___RNAseq.12755_t	3	1	0	0	2	1	4	3	2	3	0	0	1	2	1	0	1	1
Pocillopora_acuta_HIv2___RNAseq.12803_t	7	10	5	11	7	8	13	5	3	4	4	3	6	3	0	2	2	1
Pocillopora_acuta_HIv2___RNAseq.1283_t	4	2	6	6	5	4	0	3	1	2	3	1	3	1	3	6	5	2
Pocillopora_acuta_HIv2___RNAseq.1286_t	14	6	9	9	5	11	9	12	6	7	4	4	17	9	13	8	8	2
Pocillopora_acuta_HIv2___RNAseq.1287_t	19	14	10	23	13	20	15	8	18	12	16	9	4	4	10	8	7	4
Pocillopora_acuta_HIv2___RNAseq.12943_t	37	29	23	68	34	37	31	31	43	27	28	15	17	32	30	35	48	29
Pocillopora_acuta_HIv2___RNAseq.12949_t	4	1	6	10	2	4	1	3	2	4	1	3	1	4	3	3	2	4
Pocillopora_acuta_HIv2___RNAseq.12993_t	7	3	3	11	2	1	2	3	4	0	3	2	2	3	1	6	9	5
Pocillopora_acuta_HIv2___RNAseq.13017_t	2	0	2	3	0	2	1	1	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13026_t	0	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13044_t	9	7	8	5	3	9	19	8	15	5	9	7	5	23	16	9	8	2
Pocillopora_acuta_HIv2___RNAseq.13160_t	1	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13236_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13471_t	2	1	0	0	1	2	3	1	3	1	3	1	0	2	0	4	0	1
Pocillopora_acuta_HIv2___RNAseq.13561_t	6	5	5	7	3	8	12	9	14	5	7	9	4	7	11	8	9	5
Pocillopora_acuta_HIv2___RNAseq.13673_t	2	3	3	5	4	2	5	5	5	2	2	2	1	3	3	1	1	1
Pocillopora_acuta_HIv2___RNAseq.13716_t	5	5	6	7	4	2	2	4	5	1	3	0	11	12	9	6	7	2
Pocillopora_acuta_HIv2___RNAseq.13858_t	22	26	10	28	14	18	18	20	28	19	16	13	7	13	21	14	7	8
Pocillopora_acuta_HIv2___RNAseq.13872_t	72	75	54	62	37	46	2	0	0	3	2	2	1	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.13956_t	254	186	179	357	219	212	140	162	215	112	181	105	168	158	179	663	300	316
Pocillopora_acuta_HIv2___RNAseq.14004_t	56	57	58	79	36	59	69	50	57	53	53	39	42	31	32	40	31	17
Pocillopora_acuta_HIv2___RNAseq.14013_t	5	2	3	1	3	2	9	5	5	4	0	1	2	2	12	9	4	0
Pocillopora_acuta_HIv2___RNAseq.14034_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14108_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14228_t	147	126	116	198	94	120	135	118	144	72	68	63	115	134	142	113	98	55
Pocillopora_acuta_HIv2___RNAseq.14336_t	67	56	40	38	50	53	33	35	37	39	50	36	53	64	55	54	60	33
Pocillopora_acuta_HIv2___RNAseq.14358_t	0	1	1	2	2	2	1	3	1	1	3	4	0	2	1	2	1	1
Pocillopora_acuta_HIv2___RNAseq.14499_t	2	0	1	3	1	2	0	1	2	2	3	2	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1449_t	58	26	27	23	20	28	49	61	41	35	45	50	78	62	70	2	7	2
Pocillopora_acuta_HIv2___RNAseq.14501_t	20	13	2	3	1	0	1	5	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14539_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14546_t	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14566_t	5	4	1	6	2	1	0	3	1	0	2	0	1	2	4	2	2	0
Pocillopora_acuta_HIv2___RNAseq.1463_t	5	4	6	8	10	8	8	6	10	6	7	5	8	5	8	7	7	5
Pocillopora_acuta_HIv2___RNAseq.14666_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Pocillopora_acuta_HIv2___RNAseq.14688_t	247	177	173	269	221	201	170	134	180	146	127	113	229	261	317	639	402	395
Pocillopora_acuta_HIv2___RNAseq.14710_t	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14721_t	2	2	1	0	1	2	0	2	1	1	2	2	1	1	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14728_t	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	4
Pocillopora_acuta_HIv2___RNAseq.14729_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Pocillopora_acuta_HIv2___RNAseq.14750_t	0	0	1	0	0	0	10	11	9	1	1	0	0	0	0	2	0	0
Pocillopora_acuta_HIv2___RNAseq.1475_t	6	5	6	6	4	6	3	3	5	3	2	5	5	8	9	6	11	3
Pocillopora_acuta_HIv2___RNAseq.14918_t	37	33	20	60	19	29	28	19	23	23	25	8	26	11	15	6	9	9
Pocillopora_acuta_HIv2___RNAseq.14958_t	4	8	3	14	4	8	7	2	5	8	6	4	4	3	2	4	4	4
