	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.g13425.t3	16	22	16	21	16	18	22	16	19	14	24	16	14	13	5	17	17	13
Pocillopora_acuta_HIv2___RNAseq.g13427.t1	0	0	2	6	3	4	1	1	3	7	1	0	1	1	0	0	1	1
Pocillopora_acuta_HIv2___RNAseq.g13428.t1	1199	995	899	828	877	1060	1197	1078	1056	1364	1452	1127	1055	830	831	575	858	500
Pocillopora_acuta_HIv2___RNAseq.g13429.t1	13	9	9	8	5	4	13	11	4	13	5	3	8	11	8	12	8	2
Pocillopora_acuta_HIv2___RNAseq.g13430.t1	3	5	5	3	2	4	7	2	8	1	4	0	2	1	1	4	2	0
Pocillopora_acuta_HIv2___RNAseq.g13431.t1	1	1	0	1	0	2	6	4	5	2	4	5	4	2	1	1	3	0
Pocillopora_acuta_HIv2___RNAseq.g13433.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13435.t1	26	16	13	28	14	19	20	14	20	5	15	9	8	16	13	17	14	1
Pocillopora_acuta_HIv2___RNAseq.g13436.t1	1	1	2	4	2	5	1	2	2	3	0	1	1	2	0	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g13437.t1	7	0	4	9	6	5	4	1	6	3	4	8	7	7	5	3	12	1
Pocillopora_acuta_HIv2___RNAseq.g13438.t1a	6	5	6	8	8	6	0	3	3	6	4	12	4	5	0	2	9	4
Pocillopora_acuta_HIv2___RNAseq.g13438.t1b	5	6	10	5	4	1	5	4	7	4	7	5	1	0	1	5	3	0
Pocillopora_acuta_HIv2___RNAseq.g13439.t1	27	14	11	12	16	31	17	19	22	108	85	90	31	43	31	48	164	50
Pocillopora_acuta_HIv2___RNAseq.g1344.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13440.t1	0	1	0	1	0	0	2	1	0	0	1	1	18	0	2	2	2	1
Pocillopora_acuta_HIv2___RNAseq.g13441.t1	10	10	3	9	4	12	11	21	16	60	40	34	12	13	36	12	24	3
Pocillopora_acuta_HIv2___RNAseq.g13443.t1	1	0	1	2	1	0	1	2	1	0	0	0	0	1	2	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g13444.t1	0	1	3	3	3	4	2	2	1	1	2	1	2	1	4	2	1	1
Pocillopora_acuta_HIv2___RNAseq.g13445.t1	15	25	11	33	26	29	11	18	20	7	14	16	12	14	19	17	13	9
Pocillopora_acuta_HIv2___RNAseq.g13447.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1345.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13450.t1	17	8	8	8	3	6	6	12	8	5	6	6	2	3	9	1	3	1
Pocillopora_acuta_HIv2___RNAseq.g13452.t1	35	26	35	47	31	29	72	48	65	25	23	25	31	43	37	18	23	7
Pocillopora_acuta_HIv2___RNAseq.g13453.t1	7	3	3	6	2	3	12	6	12	2	3	0	1	6	5	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g13454.t1	13	11	11	14	10	9	6	8	9	4	8	2	4	5	6	2	3	3
Pocillopora_acuta_HIv2___RNAseq.g13455.t1	2	7	7	9	5	9	5	2	3	0	1	3	0	3	4	5	1	1
Pocillopora_acuta_HIv2___RNAseq.g13456.t1	30	34	25	45	28	24	24	21	20	17	19	16	25	24	31	18	27	12
Pocillopora_acuta_HIv2___RNAseq.g13457.t1	37	21	20	38	25	39	25	28	56	24	30	19	15	30	26	57	28	32
Pocillopora_acuta_HIv2___RNAseq.g13458.t1	5	0	1	1	1	1	1	0	1	0	2	1	1	3	1	3	1	1
Pocillopora_acuta_HIv2___RNAseq.g13459.t1	2	1	0	5	2	0	1	0	0	0	0	0	0	1	1	1	1	1
Pocillopora_acuta_HIv2___RNAseq.g1346.t1	5	5	5	8	4	6	12	12	3	9	13	3	2	4	5	11	7	3
Pocillopora_acuta_HIv2___RNAseq.g13460.t1	38	32	19	41	19	45	48	26	48	24	25	12	19	21	23	21	22	6
Pocillopora_acuta_HIv2___RNAseq.g13461.t1	31	16	24	42	9	23	41	20	49	16	17	10	11	22	26	28	24	17
Pocillopora_acuta_HIv2___RNAseq.g13463.t1	77	71	70	95	144	162	68	57	53	211	175	214	129	65	50	67	91	33
Pocillopora_acuta_HIv2___RNAseq.g13464.t1	120	64	90	134	95	125	34	20	28	8	6	7	66	55	63	53	40	28
Pocillopora_acuta_HIv2___RNAseq.g13465.t1	2	6	5	5	5	4	3	3	11	1	4	4	2	1	5	2	1	0
Pocillopora_acuta_HIv2___RNAseq.g13471.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13475.t1	2	0	1	1	1	2	1	1	0	0	0	1	1	2	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g13476.t1	44	30	36	51	31	41	46	45	46	15	18	13	21	31	35	46	27	17
Pocillopora_acuta_HIv2___RNAseq.g13477.t1	15	10	8	9	4	9	11	11	18	4	6	5	9	11	11	9	5	2
Pocillopora_acuta_HIv2___RNAseq.g13478.t1	3	0	2	1	0	3	1	1	0	3	1	0	2	0	0	2	2	2
Pocillopora_acuta_HIv2___RNAseq.g13479.t1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1348.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13481.t1	71	47	66	111	74	78	63	68	85	50	50	40	36	63	71	125	89	60
Pocillopora_acuta_HIv2___RNAseq.g13486.t1	0	1	1	3	2	2	2	1	1	2	0	2	3	0	0	4	2	2
Pocillopora_acuta_HIv2___RNAseq.g13487.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13488.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13489.t1	26	18	9	19	20	16	28	13	15	16	22	15	18	14	17	10	17	6
Pocillopora_acuta_HIv2___RNAseq.g1349.t1	1	0	1	1	0	0	1	2	5	2	2	2	9	5	4	7	8	3
Pocillopora_acuta_HIv2___RNAseq.g13490.t1	38	31	32	40	22	20	39	28	33	24	14	19	22	22	22	35	33	16
Pocillopora_acuta_HIv2___RNAseq.g13491.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13492.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13495.t1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13496.t1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13497.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13498.t1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13499.t1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1350.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13500.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13501.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13502.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13505.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13506.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13507.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13508.t1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13509.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1351.t1	0	0	1	0	1	1	3	2	3	2	2	1	0	2	0	1	1	1
Pocillopora_acuta_HIv2___RNAseq.g13510.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13511.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13512.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13513.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13514.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13516.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13517.t1	1	2	0	1	2	2	0	0	1	0	0	0	0	0	1	2	3	1
Pocillopora_acuta_HIv2___RNAseq.g13518.t1	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13519.t1	133	86	61	77	38	64	144	103	125	69	60	24	44	98	101	78	79	18
Pocillopora_acuta_HIv2___RNAseq.g13520.t1	15	12	12	17	18	6	13	13	9	7	9	3	10	5	5	10	7	11
Pocillopora_acuta_HIv2___RNAseq.g13521.t1	1	1	0	3	0	0	0	1	0	1	0	0	0	1	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13522.t1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13523.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0
Pocillopora_acuta_HIv2___RNAseq.g13525.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13527.t1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13528.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13529.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1353.t1	1	1	0	10	1	1	259	183	166	214	295	160	181	292	162	431	489	376
Pocillopora_acuta_HIv2___RNAseq.g13530.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13531.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13532.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13533.t1	2	3	3	1	1	0	4	3	6	1	1	1	9	4	5	0	2	0
Pocillopora_acuta_HIv2___RNAseq.g13534.t1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13535.t1	2	0	1	0	1	1	0	0	2	1	0	0	1	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g13536.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13537.t1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13538.t2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13539.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1354.t1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2
Pocillopora_acuta_HIv2___RNAseq.g13540.t1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13541.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13542.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13543.t1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13544.t1	28	20	16	25	13	18	23	28	20	8	14	9	9	27	26	2	2	2
Pocillopora_acuta_HIv2___RNAseq.g13545.t1	0	1	0	0	0	0	2	1	1	2	1	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13546.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13547.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13548.t1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g13549.t1	14	10	12	6	1	9	10	10	14	1	6	3	9	10	17	15	9	3
Pocillopora_acuta_HIv2___RNAseq.g1355.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13550.t1	5	7	0	5	7	7	9	6	10	4	3	3	7	7	2	3	4	0
Pocillopora_acuta_HIv2___RNAseq.g13552.t1	12	14	6	10	10	10	13	7	8	19	15	7	19	15	28	7	10	5
Pocillopora_acuta_HIv2___RNAseq.g13554.t1	6	0	2	8	2	1	4	3	1	2	2	1	3	2	3	2	1	1
Pocillopora_acuta_HIv2___RNAseq.g13555.t1	147	219	123	254	123	169	248	248	269	287	253	253	177	148	144	152	176	71
Pocillopora_acuta_HIv2___RNAseq.g13556.t1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g13557.t1	2	7	11	4	1	3	2	3	10	3	0	2	5	1	5	2	5	2
Pocillopora_acuta_HIv2___RNAseq.g13558.t1	6	5	4	4	6	3	45	17	49	3	5	2	0	0	0	2	1	0
Pocillopora_acuta_HIv2___RNAseq.g13559.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g1356.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13560.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13561.t1	65	35	32	37	39	48	166	180	139	76	105	78	126	150	141	34	66	25
Pocillopora_acuta_HIv2___RNAseq.g13562.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13563.t1	13	15	12	15	5	6	17	15	19	10	13	11	10	16	14	14	22	4
Pocillopora_acuta_HIv2___RNAseq.g13564.t1	6	6	8	8	5	8	11	2	4	6	7	5	0	3	2	6	7	3
Pocillopora_acuta_HIv2___RNAseq.g13565.t1	7	5	4	6	2	1	17	6	6	2	4	2	3	15	10	3	4	5
Pocillopora_acuta_HIv2___RNAseq.g13567.t1a	377	268	252	525	301	362	317	302	286	230	260	186	232	249	240	243	212	188
Pocillopora_acuta_HIv2___RNAseq.g13567.t1b	69	51	52	42	38	42	61	51	65	44	55	37	33	51	25	23	18	8
Pocillopora_acuta_HIv2___RNAseq.g13568.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13569.t1	2	1	3	4	3	0	8	2	3	2	3	1	4	4	3	6	8	1
Pocillopora_acuta_HIv2___RNAseq.g1357.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13570.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g13571.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13572.t1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	6	3	2
Pocillopora_acuta_HIv2___RNAseq.g13573.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13575.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13576.t1	2	3	3	3	0	0	0	1	0	0	0	0	11	4	11	6	5	8
Pocillopora_acuta_HIv2___RNAseq.g13579.t1	17	20	16	42	29	26	18	17	15	23	19	21	17	21	12	10	16	5
Pocillopora_acuta_HIv2___RNAseq.g1358.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13580.t1	6	8	5	16	8	11	6	7	9	4	5	0	1	4	3	7	6	2
Pocillopora_acuta_HIv2___RNAseq.g13581.t1	2	3	4	12	5	3	3	5	4	4	0	2	3	13	7	8	8	1
Pocillopora_acuta_HIv2___RNAseq.g13582.t1	27	23	29	30	11	21	24	26	28	10	11	5	12	13	19	2	4	0
Pocillopora_acuta_HIv2___RNAseq.g13583.t1	1	0	1	0	2	0	2	0	0	0	0	1	0	0	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13584.t1	19	18	16	22	27	21	17	19	17	19	30	16	17	12	15	6	20	14
Pocillopora_acuta_HIv2___RNAseq.g13585.t1	0	1	2	1	1	2	4	2	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13586.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13588.t1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	1	3	1	0
Pocillopora_acuta_HIv2___RNAseq.g1359.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13590.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13590.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13590.t1c	7	1	1	3	0	3	6	3	4	0	1	1	1	2	6	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13591.t1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g13594.t1	23	22	15	19	22	25	44	31	24	60	51	49	22	7	18	8	20	7
Pocillopora_acuta_HIv2___RNAseq.g13595.t1	2	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	2	0
Pocillopora_acuta_HIv2___RNAseq.g13596.t1	690	587	580	689	419	460	750	664	630	375	399	251	441	469	620	376	307	196
Pocillopora_acuta_HIv2___RNAseq.g13597.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13598.t1	1	2	0	3	1	1	2	3	6	1	1	1	3	3	7	1	3	1
Pocillopora_acuta_HIv2___RNAseq.g13599.t1	108	108	91	188	116	128	109	89	110	102	125	75	97	92	102	118	154	70
Pocillopora_acuta_HIv2___RNAseq.g136.t1	4	7	4	5	5	4	3	4	3	0	1	0	4	1	0	0	1	1
Pocillopora_acuta_HIv2___RNAseq.g1360.t1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13600.t1	20	5	4	2	0	2	0	3	4	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13601.t1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13603.t1	23	14	20	4	15	30	28	20	44	19	11	20	32	32	31	4	7	1
Pocillopora_acuta_HIv2___RNAseq.g13604.t1	36	11	10	5	9	20	46	12	36	2	6	6	19	9	17	0	4	2
Pocillopora_acuta_HIv2___RNAseq.g13605.t1	128	91	92	173	103	110	92	76	116	78	70	72	72	73	88	107	87	55
Pocillopora_acuta_HIv2___RNAseq.g13607.t1	37	47	34	44	33	39	55	43	52	59	48	43	59	63	76	35	37	21
Pocillopora_acuta_HIv2___RNAseq.g13608.t1	14	12	19	23	12	11	16	8	13	6	8	3	10	14	15	14	9	5
Pocillopora_acuta_HIv2___RNAseq.g13609.t1	2	5	3	4	2	1	6	2	3	1	1	1	1	1	2	0	3	0
Pocillopora_acuta_HIv2___RNAseq.g1361.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13610.t1	0	1	1	0	0	0	39	81	15	1	2	3	215	202	236	6	21	4
Pocillopora_acuta_HIv2___RNAseq.g13611.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13612.t1	138	40	46	7	1	5	14	11	13	0	0	0	6	15	27	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13613.t1	20	11	14	18	11	14	15	24	36	13	9	8	6	10	10	31	9	13
Pocillopora_acuta_HIv2___RNAseq.g13614.t1	5	1	5	6	3	9	3	1	2	5	3	3	0	3	3	0	3	1
Pocillopora_acuta_HIv2___RNAseq.g13616.t2	34	34	17	35	17	19	40	32	35	19	22	17	33	21	31	26	19	13
Pocillopora_acuta_HIv2___RNAseq.g13617.t2	64	60	49	67	44	61	60	71	65	26	26	15	41	44	67	26	18	14
Pocillopora_acuta_HIv2___RNAseq.g1362.t1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13620.t1	0	3	6	2	1	0	0	0	0	2	1	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g13623.t1	3	2	1	5	4	4	5	1	2	0	2	0	1	0	1	2	1	0
Pocillopora_acuta_HIv2___RNAseq.g13624.t1	0	1	0	1	1	1	6	9	12	11	7	8	7	6	3	4	3	6
Pocillopora_acuta_HIv2___RNAseq.g13625.t2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13626.t1	106	85	105	82	81	93	57	67	97	60	68	56	72	64	84	109	113	61
Pocillopora_acuta_HIv2___RNAseq.g13627.t1	3	1	0	0	0	1	3	3	2	0	0	3	0	0	2	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g13628.t1	3	2	7	9	3	1	1	3	5	3	4	0	3	4	8	3	2	0
Pocillopora_acuta_HIv2___RNAseq.g1363.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13631.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13632.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13635.t1	30	24	25	32	20	25	43	39	33	29	24	15	26	27	17	12	10	5
Pocillopora_acuta_HIv2___RNAseq.g13636.t1	61	38	46	50	46	47	32	47	41	28	42	41	49	31	39	10	19	14
Pocillopora_acuta_HIv2___RNAseq.g13637.t1	51	32	28	38	28	27	34	42	39	34	26	25	32	43	36	42	49	25
Pocillopora_acuta_HIv2___RNAseq.g13638.t1	10	10	13	23	21	18	9	8	10	2	7	5	8	3	9	7	8	3
Pocillopora_acuta_HIv2___RNAseq.g13639.t1	2	2	1	1	0	1	2	0	0	0	0	0	1	2	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13640.t1	6	2	10	22	15	14	17	11	14	26	21	18	5	1	4	5	4	2
Pocillopora_acuta_HIv2___RNAseq.g13641.t1	87	79	55	98	95	123	86	59	70	87	84	57	82	52	35	21	57	19
Pocillopora_acuta_HIv2___RNAseq.g13643.t1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13644.t1a	24	14	13	28	26	15	31	28	19	31	45	40	38	30	26	22	35	13
Pocillopora_acuta_HIv2___RNAseq.g13644.t1b	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13644.t1c	55	47	34	32	24	53	18	26	28	11	9	3	14	24	32	14	15	6
Pocillopora_acuta_HIv2___RNAseq.g13645.t1	24	19	29	45	24	29	12	10	14	11	12	13	16	13	12	17	9	9
Pocillopora_acuta_HIv2___RNAseq.g13646.t1	151	124	97	102	98	106	149	119	123	128	119	79	155	145	128	147	186	76
Pocillopora_acuta_HIv2___RNAseq.g13647.t1	2	3	6	1	6	2	2	2	4	3	0	1	1	2	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g13648.t2	2	2	6	1	3	6	3	2	2	0	0	2	1	1	3	2	3	1
Pocillopora_acuta_HIv2___RNAseq.g13649.t1	29	21	24	16	14	25	14	12	10	8	11	7	32	25	21	9	18	10
Pocillopora_acuta_HIv2___RNAseq.g1365.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13650.t1	45	31	35	61	35	33	40	39	38	33	19	18	28	39	51	68	50	28
Pocillopora_acuta_HIv2___RNAseq.g13654.t1	9	8	6	4	9	8	6	0	2	0	2	1	5	6	6	5	6	1
Pocillopora_acuta_HIv2___RNAseq.g13655.t1	16	16	9	17	18	16	15	12	17	21	17	12	33	30	20	20	24	17
Pocillopora_acuta_HIv2___RNAseq.g13656.t1	7	7	8	6	5	5	9	7	4	4	5	5	4	3	5	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g13657.t1	114	111	148	34	17	25	204	224	409	16	20	17	182	251	421	2	26	8
Pocillopora_acuta_HIv2___RNAseq.g13658.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g13660.t1	1	2	4	4	5	5	2	1	2	0	1	1	1	2	3	5	0	0
Pocillopora_acuta_HIv2___RNAseq.g13661.t1	12	10	7	7	4	10	7	6	7	9	7	4	9	7	10	4	7	4
Pocillopora_acuta_HIv2___RNAseq.g13662.t1	3	8	3	6	5	5	5	8	9	1	2	1	11	11	9	7	13	1
Pocillopora_acuta_HIv2___RNAseq.g13663.t1	5	7	11	8	4	8	1	5	3	5	2	5	5	2	2	2	3	2
Pocillopora_acuta_HIv2___RNAseq.g13664.t1	19	14	17	23	9	13	17	17	15	7	12	10	12	22	14	24	12	8
Pocillopora_acuta_HIv2___RNAseq.g13665.t1	18	15	8	16	5	11	12	5	19	7	8	5	9	10	6	5	10	2
Pocillopora_acuta_HIv2___RNAseq.g13667.t1	137	80	104	163	95	91	69	55	87	34	43	35	72	74	86	103	102	67
