	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.12516_t	20	21	13	77	94	83	18	24	25	17	18	25	177	88	116
Pocillopora_acuta_HIv2___RNAseq.12574_t	6	1	4	6	3	2	1	5	6	3	6	3	13	7	8
Pocillopora_acuta_HIv2___RNAseq.12608_t	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2
Pocillopora_acuta_HIv2___RNAseq.12612_t	2	0	0	16	15	3	2	5	13	5	5	4	29	28	24
Pocillopora_acuta_HIv2___RNAseq.1261_t	8	6	3	7	19	12	8	7	7	5	0	7	23	13	11
Pocillopora_acuta_HIv2___RNAseq.12645_ta	5	2	3	0	0	1	3	1	1	4	3	1	7	3	3
Pocillopora_acuta_HIv2___RNAseq.12645_tb	4	3	2	1	0	0	0	0	0	1	0	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.12690_t	13	11	4	4	4	3	13	9	22	9	6	11	2	6	6
Pocillopora_acuta_HIv2___RNAseq.12706_t	1	0	1	0	0	1	1	0	1	0	1	1	0	1	2
Pocillopora_acuta_HIv2___RNAseq.1270_t	1	2	4	6	5	4	1	1	2	4	1	4	13	5	11
Pocillopora_acuta_HIv2___RNAseq.1271_t	29	21	19	22	28	37	28	16	49	24	22	18	100	55	76
Pocillopora_acuta_HIv2___RNAseq.12755_t	3	1	0	2	1	1	4	3	2	1	2	1	5	0	3
Pocillopora_acuta_HIv2___RNAseq.12803_t	7	10	5	25	20	24	13	5	3	6	3	0	58	31	57
Pocillopora_acuta_HIv2___RNAseq.1283_t	4	2	6	27	46	24	0	3	1	3	1	3	36	16	35
Pocillopora_acuta_HIv2___RNAseq.1286_t	14	6	9	7	6	6	9	12	6	17	9	13	14	13	12
Pocillopora_acuta_HIv2___RNAseq.1287_t	19	14	10	3	5	5	15	8	18	4	4	10	20	12	14
Pocillopora_acuta_HIv2___RNAseq.12943_t	37	29	23	74	75	100	31	31	43	17	32	30	170	104	145
Pocillopora_acuta_HIv2___RNAseq.12949_t	4	1	6	2	7	4	1	3	2	1	4	3	6	5	9
Pocillopora_acuta_HIv2___RNAseq.12993_t	7	3	3	5	3	0	2	3	4	2	3	1	9	2	6
Pocillopora_acuta_HIv2___RNAseq.13017_t	2	0	2	0	1	2	1	1	1	0	0	0	4	2	2
Pocillopora_acuta_HIv2___RNAseq.13026_t	0	1	0	0	5	2	0	0	2	0	2	1	4	0	0
Pocillopora_acuta_HIv2___RNAseq.13044_t	9	7	8	20	25	38	19	8	15	5	23	16	41	20	30
Pocillopora_acuta_HIv2___RNAseq.13160_t	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13236_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.13471_t	2	1	0	0	3	3	3	1	3	0	2	0	5	1	3
Pocillopora_acuta_HIv2___RNAseq.13561_t	6	5	5	2	3	2	12	9	14	4	7	11	2	4	5
Pocillopora_acuta_HIv2___RNAseq.13673_t	2	3	3	3	2	2	5	5	5	1	3	3	5	2	1
Pocillopora_acuta_HIv2___RNAseq.13716_t	5	5	6	4	6	9	2	4	5	11	12	9	14	10	11
Pocillopora_acuta_HIv2___RNAseq.13858_t	22	26	10	24	38	40	18	20	28	7	13	21	88	44	66
Pocillopora_acuta_HIv2___RNAseq.13872_t	72	75	54	5	1	2	2	0	0	1	0	0	1	0	2
Pocillopora_acuta_HIv2___RNAseq.13956_t	254	186	179	196	352	342	140	162	215	168	158	179	616	301	438
Pocillopora_acuta_HIv2___RNAseq.14004_t	56	57	58	76	112	76	69	50	57	42	31	32	151	87	122
Pocillopora_acuta_HIv2___RNAseq.14013_t	5	2	3	4	4	2	9	5	5	2	2	12	15	6	11
Pocillopora_acuta_HIv2___RNAseq.14034_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14108_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14228_t	147	126	116	260	350	347	135	118	144	115	134	142	921	503	690
Pocillopora_acuta_HIv2___RNAseq.14336_t	67	56	40	74	133	99	33	35	37	53	64	55	146	77	151
Pocillopora_acuta_HIv2___RNAseq.14358_t	0	1	1	1	4	3	1	3	1	0	2	1	4	3	1
Pocillopora_acuta_HIv2___RNAseq.14499_t	2	0	1	0	2	0	0	1	2	0	0	1	1	2	1
Pocillopora_acuta_HIv2___RNAseq.1449_t	58	26	27	213	588	283	49	61	41	78	62	70	117	127	168
Pocillopora_acuta_HIv2___RNAseq.14501_t	20	13	2	9	32	31	1	5	0	1	0	0	59	15	45
Pocillopora_acuta_HIv2___RNAseq.14539_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14546_t	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14566_t	5	4	1	3	1	4	0	3	1	1	2	4	2	1	2
