	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.g21291.t1	6	10	7	4	5	2	3	5	4	6	3	5	13	6	12
Pocillopora_acuta_HIv2___RNAseq.g21292.t1	13	5	14	36	53	65	37	22	36	12	17	23	98	60	65
Pocillopora_acuta_HIv2___RNAseq.g21293.t1	14	3	8	13	14	23	61	28	45	3	6	5	47	29	47
Pocillopora_acuta_HIv2___RNAseq.g21294.t1	4	1	3	5	5	8	3	3	4	1	1	0	9	5	4
Pocillopora_acuta_HIv2___RNAseq.g21295.t1	2	1	0	1	1	0	1	3	1	0	1	1	3	7	3
Pocillopora_acuta_HIv2___RNAseq.g21296.t1	76	46	50	47	78	43	54	51	55	41	45	40	104	73	110
Pocillopora_acuta_HIv2___RNAseq.g21298.t1a	8	6	5	8	13	9	5	5	6	3	6	8	13	12	18
Pocillopora_acuta_HIv2___RNAseq.g21298.t1b	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21299.t1	4	1	0	0	2	0	0	0	0	1	0	1	2	0	1
Pocillopora_acuta_HIv2___RNAseq.g213.t1	7	3	5	0	1	3	4	5	6	6	4	3	4	1	5
Pocillopora_acuta_HIv2___RNAseq.g2130.t1	10	6	5	32	47	27	8	6	7	12	5	6	81	54	96
Pocillopora_acuta_HIv2___RNAseq.g21300.t1	2	6	6	3	12	10	5	6	5	0	1	1	10	11	27
Pocillopora_acuta_HIv2___RNAseq.g21302.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21304.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21305.t1	56	23	37	32	34	24	49	58	41	23	32	29	74	47	84
Pocillopora_acuta_HIv2___RNAseq.g21306.t2	86	46	73	47	91	89	84	63	80	44	45	63	255	126	197
Pocillopora_acuta_HIv2___RNAseq.g21307.t1a	2	0	1	2	1	4	0	1	0	0	2	0	1	3	2
Pocillopora_acuta_HIv2___RNAseq.g21307.t1b	29	23	21	20	18	18	28	25	25	25	23	19	34	30	33
Pocillopora_acuta_HIv2___RNAseq.g21308.t1	9	2	1	6	6	6	4	1	6	7	5	6	17	10	14
Pocillopora_acuta_HIv2___RNAseq.g21309.t1	3	6	1	6	3	8	4	1	4	7	4	8	15	18	12
Pocillopora_acuta_HIv2___RNAseq.g21310.t1	2	1	0	2	1	3	0	1	0	0	0	0	5	1	1
Pocillopora_acuta_HIv2___RNAseq.g21311.t1	0	0	1	0	2	1	4	0	1	1	1	3	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g21313.t1	7	4	2	6	9	10	5	5	6	3	4	12	9	9	14
Pocillopora_acuta_HIv2___RNAseq.g21314.t1	0	2	4	3	3	2	5	4	2	2	1	3	7	6	6
Pocillopora_acuta_HIv2___RNAseq.g21316.t1	18	11	6	14	14	22	13	8	9	12	13	10	24	16	26
Pocillopora_acuta_HIv2___RNAseq.g21317.t1	17	11	10	10	17	14	100	89	105	44	67	75	58	48	38
Pocillopora_acuta_HIv2___RNAseq.g21318.t1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21319.t1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2
Pocillopora_acuta_HIv2___RNAseq.g2132.t1	1	0	1	9	8	11	2	0	2	1	0	0	13	12	24
Pocillopora_acuta_HIv2___RNAseq.g21320.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21321.t1a	22	26	14	24	17	24	83	68	66	23	28	18	38	30	31
Pocillopora_acuta_HIv2___RNAseq.g21321.t1b	3	3	4	0	1	1	12	25	21	4	7	4	7	1	15
Pocillopora_acuta_HIv2___RNAseq.g21322.t1	5	2	5	1	3	0	9	10	15	5	5	11	5	4	10
Pocillopora_acuta_HIv2___RNAseq.g21323.t1	0	0	0	0	1	0	2	3	1	0	1	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g21324.t1	1	3	1	3	6	0	3	6	5	8	7	5	6	1	0
Pocillopora_acuta_HIv2___RNAseq.g21325.t1	0	0	0	1	1	1	8	5	7	4	8	6	1	1	1
Pocillopora_acuta_HIv2___RNAseq.g21326.t1	4	4	3	7	24	8	32	31	25	11	5	8	45	31	43
Pocillopora_acuta_HIv2___RNAseq.g21328.t2	61	37	28	34	39	55	68	64	113	25	39	44	128	53	83
Pocillopora_acuta_HIv2___RNAseq.g21329.t1	0	0	0	0	0	0	2	1	1	0	4	0	0	2	1
Pocillopora_acuta_HIv2___RNAseq.g2133.t1	24	26	16	17	35	28	18	16	21	17	14	24	70	43	54
Pocillopora_acuta_HIv2___RNAseq.g21330.t1	14	7	14	13	8	8	13	7	7	14	3	8	18	9	18
Pocillopora_acuta_HIv2___RNAseq.g21334.t1	38	34	44	17	31	24	31	26	32	35	23	23	63	44	69
Pocillopora_acuta_HIv2___RNAseq.g21335.t1	0	1	1	0	1	1	0	0	1	2	1	0	2	2	3
Pocillopora_acuta_HIv2___RNAseq.g21336.t1	5	2	3	5	9	3	0	2	2	2	2	1	7	5	9
Pocillopora_acuta_HIv2___RNAseq.g21337.t1	87	79	85	94	147	110	115	70	104	48	62	77	124	78	123
Pocillopora_acuta_HIv2___RNAseq.g21338.t1	161	58	82	7	18	5	21	38	21	22	66	90	58	41	71
Pocillopora_acuta_HIv2___RNAseq.g21339.t1	57	28	42	95	154	118	44	39	29	25	38	29	167	95	157
Pocillopora_acuta_HIv2___RNAseq.g2134.t1	7	9	6	10	10	10	7	5	7	2	3	7	32	30	31
Pocillopora_acuta_HIv2___RNAseq.g21341.t1	9	5	2	14	31	21	2	8	5	5	4	5	22	14	26
Pocillopora_acuta_HIv2___RNAseq.g21342.t1	31	22	26	25	66	64	21	22	26	18	17	21	110	56	104
Pocillopora_acuta_HIv2___RNAseq.g21345.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g21347.t1	6	7	4	9	5	7	2	8	10	5	4	4	8	8	15
Pocillopora_acuta_HIv2___RNAseq.g21348.t1	8	9	7	7	10	12	3	4	6	1	6	6	25	13	25
Pocillopora_acuta_HIv2___RNAseq.g21349.t1	8	22	9	6	7	8	11	8	7	7	3	6	20	17	13
Pocillopora_acuta_HIv2___RNAseq.g21350.t1	4	1	1	0	1	1	1	1	1	0	1	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g21351.t1	6	3	3	18	21	26	5	3	4	5	6	2	59	39	29
Pocillopora_acuta_HIv2___RNAseq.g21352.t1	0	0	0	0	0	0	1	1	0	2	0	0	1	2	1
Pocillopora_acuta_HIv2___RNAseq.g21353.t1	13	9	16	30	47	28	46	51	44	50	45	49	118	56	84
Pocillopora_acuta_HIv2___RNAseq.g21354.t2	16	8	9	7	7	15	19	13	22	7	16	20	24	9	10
Pocillopora_acuta_HIv2___RNAseq.g21355.t1	40	38	35	21	49	34	55	37	40	32	47	50	89	39	69
Pocillopora_acuta_HIv2___RNAseq.g21356.t1	10	9	1	2	2	5	9	6	5	2	8	7	6	2	6
Pocillopora_acuta_HIv2___RNAseq.g21357.t1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	2
Pocillopora_acuta_HIv2___RNAseq.g21358.t1	1	3	0	0	4	5	1	0	1	1	0	0	6	4	4
Pocillopora_acuta_HIv2___RNAseq.g21359.t2	43	41	37	32	73	46	43	47	58	29	26	27	91	59	85
Pocillopora_acuta_HIv2___RNAseq.g2136.t1	2	0	2	2	0	2	11	12	13	14	8	7	25	10	15
Pocillopora_acuta_HIv2___RNAseq.g21361.t1	9	5	5	10	16	12	10	2	7	7	2	1	22	12	17
Pocillopora_acuta_HIv2___RNAseq.g21362.t1	12	10	14	14	20	19	19	16	19	16	23	12	23	18	35
Pocillopora_acuta_HIv2___RNAseq.g21363.t1a	2	0	1	0	1	1	3	3	1	1	1	2	6	2	4
Pocillopora_acuta_HIv2___RNAseq.g21363.t1b	7	4	3	1	1	2	1	2	2	4	1	5	9	3	6
Pocillopora_acuta_HIv2___RNAseq.g21367.t1	2	1	2	7	6	7	14	9	7	2	4	0	19	6	11
Pocillopora_acuta_HIv2___RNAseq.g21368.t1	0	0	2	1	3	3	2	1	2	0	1	0	5	0	3
Pocillopora_acuta_HIv2___RNAseq.g21369.t1	13	4	9	29	54	38	5	4	7	5	2	1	14	18	19
Pocillopora_acuta_HIv2___RNAseq.g2137.t1	32	32	22	79	114	76	28	38	38	53	28	29	118	90	135
Pocillopora_acuta_HIv2___RNAseq.g21370.t1	2	2	0	7	6	2	1	2	1	3	4	6	5	3	5
Pocillopora_acuta_HIv2___RNAseq.g21371.t1	3	0	0	1	7	4	3	3	4	0	3	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g21372.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1
Pocillopora_acuta_HIv2___RNAseq.g21373.t1	0	0	1	1	3	0	2	0	0	0	1	1	4	1	2
Pocillopora_acuta_HIv2___RNAseq.g21374.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21375.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21376.t1	8	6	7	0	10	8	5	5	5	2	4	6	15	7	9
Pocillopora_acuta_HIv2___RNAseq.g21377.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21379.t1	6	20	17	15	43	36	8	12	10	3	4	8	71	37	56
Pocillopora_acuta_HIv2___RNAseq.g2138.t1	0	0	0	1	3	1	1	0	0	0	1	1	2	3	7
Pocillopora_acuta_HIv2___RNAseq.g21380.t1	42	27	30	35	59	67	45	36	42	24	22	28	108	54	77
Pocillopora_acuta_HIv2___RNAseq.g21381.t1	103	79	63	121	235	185	71	75	85	58	68	79	349	195	265
Pocillopora_acuta_HIv2___RNAseq.g21382.t1	30	41	33	49	77	66	26	36	46	22	39	27	130	69	104
Pocillopora_acuta_HIv2___RNAseq.g21383.t1	1	2	0	3	1	2	1	2	0	0	0	0	2	1	1
Pocillopora_acuta_HIv2___RNAseq.g21384.t1	19	15	22	7	18	12	10	13	12	13	16	13	30	28	40
Pocillopora_acuta_HIv2___RNAseq.g21385.t1	1	0	1	3	3	7	1	1	0	0	2	0	10	3	8
Pocillopora_acuta_HIv2___RNAseq.g21386.t1	2	2	2	6	6	11	0	0	0	1	1	0	14	2	20
Pocillopora_acuta_HIv2___RNAseq.g21387.t1	18	16	12	17	36	27	24	26	29	21	22	10	81	38	53
Pocillopora_acuta_HIv2___RNAseq.g21388.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21389.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2139.t1	6	8	7	2	5	8	8	5	4	9	9	3	14	16	9
Pocillopora_acuta_HIv2___RNAseq.g21390.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g21391.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21392.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21394.t1	3	2	1	4	17	10	4	3	3	0	1	3	13	5	11
Pocillopora_acuta_HIv2___RNAseq.g21396.t1	3	6	3	3	5	6	5	7	2	2	3	4	9	4	5
Pocillopora_acuta_HIv2___RNAseq.g21397.t2	33	23	26	22	41	36	22	20	24	17	16	18	62	50	50
Pocillopora_acuta_HIv2___RNAseq.g21398.t1	1	0	1	0	0	1	3	0	4	2	2	4	1	2	2
Pocillopora_acuta_HIv2___RNAseq.g21399.t1	30	21	18	27	44	45	27	26	14	11	11	13	75	29	52
Pocillopora_acuta_HIv2___RNAseq.g214.t1	18	16	20	20	39	19	31	32	43	13	16	17	101	59	71
Pocillopora_acuta_HIv2___RNAseq.g2140.t1	29	19	19	76	92	82	24	19	21	12	24	16	82	51	91
Pocillopora_acuta_HIv2___RNAseq.g21400.t1	9	19	7	4	14	17	16	17	22	17	24	17	35	17	30
Pocillopora_acuta_HIv2___RNAseq.g21401.t1	121	91	173	96	136	147	236	187	187	245	236	243	216	102	157
Pocillopora_acuta_HIv2___RNAseq.g21402.t1	0	0	1	0	0	0	1	0	0	0	0	0	2	1	2
Pocillopora_acuta_HIv2___RNAseq.g21403.t1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21404.t1	4	2	9	1	9	8	2	6	4	3	2	6	8	3	5
Pocillopora_acuta_HIv2___RNAseq.g21405.t1	9	7	12	5	3	6	8	10	31	7	5	14	12	5	7
Pocillopora_acuta_HIv2___RNAseq.g21406.t1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g21407.t1	4	2	3	1	6	3	2	0	3	1	0	1	7	6	5
Pocillopora_acuta_HIv2___RNAseq.g21408.t1	5	3	0	4	2	2	2	0	5	2	3	2	8	5	11
Pocillopora_acuta_HIv2___RNAseq.g2141.t1	41	27	22	52	71	51	25	31	35	21	23	27	62	40	59
Pocillopora_acuta_HIv2___RNAseq.g21413.t1	10	9	11	7	16	13	7	6	12	8	6	10	28	10	14
Pocillopora_acuta_HIv2___RNAseq.g21414.t1	85	56	41	63	79	98	75	54	65	51	49	54	161	98	151
Pocillopora_acuta_HIv2___RNAseq.g21415.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21416.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21417.t1	0	0	1	1	0	0	0	0	0	0	3	2	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g21418.t1	11	2	5	29	50	21	8	8	3	14	9	7	54	43	56
Pocillopora_acuta_HIv2___RNAseq.g21419.t1	16	7	10	5	10	4	11	5	8	18	18	10	15	13	13
Pocillopora_acuta_HIv2___RNAseq.g2142.t1	12	9	15	9	15	14	15	10	10	3	9	5	35	22	25
Pocillopora_acuta_HIv2___RNAseq.g21420.t1	196	165	164	224	331	285	168	159	189	149	164	165	530	279	425
Pocillopora_acuta_HIv2___RNAseq.g21421.t1	25	20	22	129	192	153	22	16	25	28	21	17	217	137	210
Pocillopora_acuta_HIv2___RNAseq.g21422.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21423.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21424.t1	0	1	0	0	3	0	1	1	1	4	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g21425.t1	13	10	12	8	20	28	17	13	16	9	11	14	43	30	33
Pocillopora_acuta_HIv2___RNAseq.g21428.t1	0	0	0	0	1	0	0	0	0	4	1	0	1	0	5
Pocillopora_acuta_HIv2___RNAseq.g2143.t1	11	9	6	6	6	13	5	7	11	10	9	8	20	12	16
Pocillopora_acuta_HIv2___RNAseq.g21430.t1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g21431.t2	6	7	10	4	7	2	0	0	0	18	8	1	28	13	30
Pocillopora_acuta_HIv2___RNAseq.g21432.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21433.t1	5	4	3	1	3	2	4	3	3	0	2	1	3	3	4
Pocillopora_acuta_HIv2___RNAseq.g21434.t1	5	2	3	1	3	0	5	2	0	4	2	3	8	0	4
Pocillopora_acuta_HIv2___RNAseq.g21437.t1	30	19	23	28	44	37	23	23	27	28	17	22	45	31	34
Pocillopora_acuta_HIv2___RNAseq.g21438.t1	0	0	0	3	5	2	0	0	0	0	0	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g21439.t1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g2144.t1	0	4	2	1	1	3	7	3	4	3	3	2	5	4	2
Pocillopora_acuta_HIv2___RNAseq.g21441.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21442.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g21443.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Pocillopora_acuta_HIv2___RNAseq.g21444.t1	0	0	0	1	2	0	2	7	5	6	6	16	10	4	11
Pocillopora_acuta_HIv2___RNAseq.g21445.t1	1	2	1	3	1	0	2	2	2	3	2	3	2	2	1
Pocillopora_acuta_HIv2___RNAseq.g21446.t1	81	50	55	107	126	123	56	54	57	53	64	45	221	160	198
Pocillopora_acuta_HIv2___RNAseq.g21447.t1	11	6	4	1	7	7	3	4	4	2	2	1	6	4	0
Pocillopora_acuta_HIv2___RNAseq.g21448.t1	3	18	0	1	1	0	0	1	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21449.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2145.t2	128	74	85	40	138	108	99	69	86	48	58	49	165	90	142
Pocillopora_acuta_HIv2___RNAseq.g21450.t1	4	6	13	0	0	9	4	2	1	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g21451.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21452.t1	1	9	8	4	6	6	1	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21453.t1	0	2	6	2	2	10	1	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g21457.t1	7	6	3	4	6	3	8	6	7	1	1	6	12	13	18
Pocillopora_acuta_HIv2___RNAseq.g21458.t1	9	16	10	2	9	4	12	5	4	8	6	6	12	7	10
Pocillopora_acuta_HIv2___RNAseq.g21459.t2	1	1	2	1	1	0	1	1	2	0	4	2	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g2146.t1	84	65	52	77	115	117	75	52	68	54	66	64	173	98	168
Pocillopora_acuta_HIv2___RNAseq.g21460.t2a	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1
Pocillopora_acuta_HIv2___RNAseq.g21460.t2b	7	3	5	7	9	11	12	8	13	18	18	18	15	15	16
Pocillopora_acuta_HIv2___RNAseq.g21460.t2c	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g21461.t1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	1
Pocillopora_acuta_HIv2___RNAseq.g21462.t2a	179	174	149	263	272	325	339	318	334	248	293	303	587	398	512
Pocillopora_acuta_HIv2___RNAseq.g21462.t2b	0	0	0	1	0	0	2	0	3	0	0	1	3	5	1
Pocillopora_acuta_HIv2___RNAseq.g21463.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21464.t1	0	0	0	1	1	1	0	2	2	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21465.t1	5	5	4	3	2	1	7	2	7	2	4	6	8	2	4
Pocillopora_acuta_HIv2___RNAseq.g21467.t1a	2	1	1	1	5	3	0	1	2	0	3	2	3	1	4
Pocillopora_acuta_HIv2___RNAseq.g21467.t1b	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g21467.t1c	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21468.t1	38	28	19	32	76	81	30	22	25	17	17	14	80	38	38
Pocillopora_acuta_HIv2___RNAseq.g21469.t1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
Pocillopora_acuta_HIv2___RNAseq.g2147.t1	3	2	5	0	2	5	2	5	6	4	4	9	6	4	7
Pocillopora_acuta_HIv2___RNAseq.g21471.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21472.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21472.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21473.t1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g21475.t1	7	11	7	3	6	4	7	7	4	3	11	10	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21476.t1	3	1	0	0	2	0	0	1	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21477.t1	2	1	0	0	1	1	4	1	1	2	1	3	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21478.t1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21479.t1	2	1	4	0	0	1	5	2	3	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21480.t1	16	3	6	0	3	0	1	0	2	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21481.t1	3	1	7	1	8	13	0	1	0	4	3	6	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g21482.t1	14	12	10	5	12	18	3	3	4	4	3	6	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g21484.t1	37	20	22	27	43	49	29	27	31	2	3	4	74	50	51
Pocillopora_acuta_HIv2___RNAseq.g21488.t1	8	7	7	3	7	6	18	17	16	17	34	23	17	7	16
Pocillopora_acuta_HIv2___RNAseq.g21489.t1	17	14	3	9	13	6	13	5	13	8	8	13	20	13	15
Pocillopora_acuta_HIv2___RNAseq.g2149.t2	36	21	14	14	18	13	27	26	25	14	20	23	26	15	23
Pocillopora_acuta_HIv2___RNAseq.g21490.t1	32	25	25	11	22	13	25	21	27	29	23	21	29	13	21
Pocillopora_acuta_HIv2___RNAseq.g21491.t1	0	0	1	1	2	2	0	0	0	1	1	0	3	0	1
Pocillopora_acuta_HIv2___RNAseq.g21493.t1	8	11	8	1	4	4	1	3	2	5	8	8	12	12	12
Pocillopora_acuta_HIv2___RNAseq.g21494.t1	44	33	25	35	39	41	27	23	52	31	23	24	111	64	97
Pocillopora_acuta_HIv2___RNAseq.g21496.t1	0	5	2	2	2	1	6	4	3	2	2	4	8	4	4
Pocillopora_acuta_HIv2___RNAseq.g21497.t1	7	4	2	2	2	4	8	4	5	11	12	13	10	4	3
Pocillopora_acuta_HIv2___RNAseq.g21498.t1	6	9	3	4	13	13	9	10	8	4	7	3	33	14	19
Pocillopora_acuta_HIv2___RNAseq.g21499.t1	31	26	28	25	29	32	23	18	18	28	31	29	72	33	41
Pocillopora_acuta_HIv2___RNAseq.g215.t1	13	9	15	4	4	6	18	17	17	4	6	7	14	10	21
Pocillopora_acuta_HIv2___RNAseq.g2150.t1	14	5	8	9	10	5	17	13	17	10	12	9	18	13	14
Pocillopora_acuta_HIv2___RNAseq.g21501.t1	35	31	19	17	34	42	27	33	42	10	19	36	98	45	53
Pocillopora_acuta_HIv2___RNAseq.g21502.t1	19	10	10	12	33	19	21	18	9	11	8	12	38	17	32
Pocillopora_acuta_HIv2___RNAseq.g21503.t1	106	71	58	62	90	75	97	65	74	85	82	67	160	101	161
Pocillopora_acuta_HIv2___RNAseq.g21504.t1	183	138	115	85	123	79	181	144	162	100	117	113	180	130	187
Pocillopora_acuta_HIv2___RNAseq.g21505.t1	11	6	6	16	27	11	7	6	9	6	1	7	12	8	11
Pocillopora_acuta_HIv2___RNAseq.g21507.t1	21	17	19	0	0	0	28	24	27	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21508.t1	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21509.t1	11	8	8	0	0	0	0	0	0	4	11	6	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2151.t1	41	32	27	22	27	21	42	54	70	6	15	8	45	26	56
Pocillopora_acuta_HIv2___RNAseq.g21510.t1	8	9	4	16	26	24	5	5	1	1	0	1	18	11	13
Pocillopora_acuta_HIv2___RNAseq.g21511.t1	13	7	8	2	12	7	5	6	6	2	4	5	15	6	10
Pocillopora_acuta_HIv2___RNAseq.g21512.t2	67	49	48	51	62	57	61	52	53	38	34	44	116	60	88
Pocillopora_acuta_HIv2___RNAseq.g21513.t1	1	3	3	4	11	2	1	0	1	0	1	3	0	2	1
Pocillopora_acuta_HIv2___RNAseq.g21514.t1	8	4	7	13	26	11	8	8	13	10	9	11	40	17	29
Pocillopora_acuta_HIv2___RNAseq.g21515.t1	14	3	7	11	13	19	4	2	7	1	0	3	28	18	23
Pocillopora_acuta_HIv2___RNAseq.g21516.t1	53	19	23	94	116	104	14	24	36	5	5	5	72	44	105
Pocillopora_acuta_HIv2___RNAseq.g21517.t1	190	138	130	44	75	86	55	74	84	132	141	161	148	77	117
Pocillopora_acuta_HIv2___RNAseq.g21518.t1	3	3	3	13	37	21	2	1	2	1	0	0	21	7	18
Pocillopora_acuta_HIv2___RNAseq.g21519.t1	5	2	1	1	6	6	6	3	2	7	6	3	8	7	8
Pocillopora_acuta_HIv2___RNAseq.g2152.t1	38	32	30	28	50	43	27	27	37	21	36	23	92	55	72
Pocillopora_acuta_HIv2___RNAseq.g21520.t1	1	3	2	3	0	0	0	0	0	4	10	8	3	1	1
Pocillopora_acuta_HIv2___RNAseq.g21521.t1	114	63	56	22	22	10	27	32	38	42	83	82	136	99	118
Pocillopora_acuta_HIv2___RNAseq.g21522.t1	3	0	7	5	7	7	11	5	7	5	10	7	4	2	10
Pocillopora_acuta_HIv2___RNAseq.g21523.t1	111	73	81	9	16	6	57	47	44	80	154	160	76	50	84
Pocillopora_acuta_HIv2___RNAseq.g21524.t1	1	0	0	1	1	0	0	0	1	0	2	0	4	0	0
Pocillopora_acuta_HIv2___RNAseq.g21525.t1	151	120	101	134	138	86	114	125	84	53	96	118	300	188	279
Pocillopora_acuta_HIv2___RNAseq.g21526.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g21527.t1	12	5	1	13	34	17	4	5	4	14	11	20	27	23	28
Pocillopora_acuta_HIv2___RNAseq.g21528.t1	274	150	142	146	259	135	151	198	214	294	266	319	567	271	393
Pocillopora_acuta_HIv2___RNAseq.g21529.t1	65	55	54	37	55	37	41	46	42	104	96	106	80	66	96
Pocillopora_acuta_HIv2___RNAseq.g21530.t1	31	33	30	13	35	21	39	42	38	20	17	32	64	21	39
Pocillopora_acuta_HIv2___RNAseq.g21531.t1	6	8	8	6	13	13	33	19	27	10	8	27	22	15	25
Pocillopora_acuta_HIv2___RNAseq.g21532.t1	197	147	149	176	278	267	190	135	161	128	125	138	593	322	487
Pocillopora_acuta_HIv2___RNAseq.g21534.t1	11	6	5	10	8	10	35	22	28	17	17	17	16	15	14
Pocillopora_acuta_HIv2___RNAseq.g21536.t1	10	5	5	1	2	7	5	4	10	3	2	3	8	4	9
Pocillopora_acuta_HIv2___RNAseq.g21538.t1	0	0	1	2	2	1	0	2	1	1	1	0	3	3	2
Pocillopora_acuta_HIv2___RNAseq.g21544.t1	1	3	0	3	0	2	10	9	18	1	0	1	5	6	5
